cord_uid,title,abstract,authors,journal,publish_time,source_x,has_full_text,pdf_json_files,pmc_json_files,url,doi
cord_000073,COVID-19 Research Paper 73: Diagnostic Preventive,This study investigates COVID-19 transmission using statistical methods. The findings suggest important implications for clinical practice.,"Author 0 Jones, Author 1 Williams, Author 2 Brown, Author 3 Johnson",Science,2021-01-15,WHO,True,,pmc_73.json,https://example.com/paper/73,
cord_000074,COVID-19 Research Paper 74: Epidemiological Virological,This study investigates COVID-19 transmission using laboratory analysis. The findings suggest important implications for treatment protocols.,"Author 0 Williams, Author 1 Smith",PLOS ONE,2022-01-02,medRxiv,True,pdf_74.json,pmc_74.json,https://example.com/paper/74,10.1000/000074
cord_000075,COVID-19 Research Paper 75: Mathematical Modeling Preventive,This study investigates COVID-19 treatment using clinical data. The findings suggest important implications for vaccine development.,"Author 0 Jones, Author 1 Brown, Author 2 Brown, Author 3 Brown, Author 4 Smith",NEJM,2021-05-17,Elsevier,True,,pmc_75.json,https://example.com/paper/75,
cord_000076,COVID-19 Research Paper 76: Therapeutic Diagnostic,This study investigates COVID-19 prevention using statistical methods. The findings suggest important implications for clinical practice.,"Author 0 Johnson, Author 1 Davis, Author 2 Williams",Nature Medicine,2020-05-28,Research Square,True,,pmc_76.json,https://example.com/paper/76,10.1000/000076
cord_000077,COVID-19 Research Paper 77: Clinical Epidemiological,This study investigates COVID-19 treatment using machine learning. The findings suggest important implications for treatment protocols.,"Author 0 Davis, Author 1 Garcia, Author 2 Williams, Author 3 Miller, Author 4 Davis",Clinical Infectious Diseases,2021-03-16,Elsevier,False,pdf_77.json,pmc_77.json,https://example.com/paper/77,10.1000/000077
cord_000078,COVID-19 Research Paper 78: Virological Diagnostic,,"Author 0 Williams, Author 1 Williams, Author 2 Brown, Author 3 Brown",PLOS ONE,2022-01-31,WHO,False,pdf_78.json,pmc_78.json,https://example.com/paper/78,
cord_000079,COVID-19 Research Paper 79: Epidemiological Epidemiological,This study investigates COVID-19 transmission using machine learning. The findings suggest important implications for vaccine development.,Author 0 Miller,Science,2022-01-31,Research Square,True,pdf_79.json,pmc_79.json,https://example.com/paper/79,10.1000/000079
cord_000080,COVID-19 Research Paper 80: Clinical Preventive,This study investigates COVID-19 symptoms using clinical data. The findings suggest important implications for public health policy.,Author 0 Jones,Emerging Infectious Diseases,2020-10-24,bioRxiv,True,,,https://example.com/paper/80,10.1000/000080
cord_000081,COVID-19 Research Paper 81: Epidemiological Mathematical Modeling,This study investigates COVID-19 treatment using epidemiological models. The findings suggest important implications for treatment protocols.,"Author 0 Brown, Author 1 Brown, Author 2 Brown, Author 3 Johnson",Cell,2021-10-05,bioRxiv,True,pdf_81.json,,https://example.com/paper/81,
cord_000082,COVID-19 Research Paper 82: Public Health Clinical,This study investigates COVID-19 epidemiology using epidemiological models. The findings suggest important implications for treatment protocols.,"Author 0 Davis, Author 1 Davis",The Lancet,2020-09-07,bioRxiv,True,,,https://example.com/paper/82,10.1000/000082
cord_000083,COVID-19 Research Paper 83: Epidemiological Preventive,This study investigates COVID-19 treatment using laboratory analysis. The findings suggest important implications for public health policy.,"Author 0 Garcia, Author 1 Davis, Author 2 Brown, Author 3 Miller, Author 4 Miller, Author 5 Smith",Emerging Infectious Diseases,2020-01-20,bioRxiv,False,,pmc_83.json,https://example.com/paper/83,10.1000/000083
cord_000084,COVID-19 Research Paper 84: Epidemiological Epidemiological,This study investigates COVID-19 transmission using clinical data. The findings suggest important implications for vaccine development.,"Author 0 Miller, Author 1 Garcia, Author 2 Miller, Author 3 Smith, Author 4 Johnson",Journal of Medical Virology,2021-10-14,PubMed Central,True,,,https://example.com/paper/84,10.1000/000084
cord_000085,COVID-19 Research Paper 85: Mathematical Modeling Diagnostic,This study investigates COVID-19 prevention using laboratory analysis. The findings suggest important implications for vaccine development.,"Author 0 Davis, Author 1 Smith, Author 2 Brown, Author 3 Miller",Journal of Medical Virology,2020-01-23,PubMed Central,True,pdf_85.json,,https://example.com/paper/85,10.1000/000085
cord_000086,COVID-19 Research Paper 86: Therapeutic Public Health,This study investigates COVID-19 transmission using epidemiological models. The findings suggest important implications for public health policy.,"Author 0 Smith, Author 1 Miller, Author 2 Smith, Author 3 Brown, Author 4 Jones, Author 5 Davis",Nature,2021-11-04,medRxiv,True,pdf_86.json,pmc_86.json,https://example.com/paper/86,10.1000/000086
cord_000087,COVID-19 Research Paper 87: Public Health Epidemiological,This study investigates COVID-19 symptoms using statistical methods. The findings suggest important implications for treatment protocols.,"Author 0 Jones, Author 1 Jones, Author 2 Davis, Author 3 Williams",PNAS,2021-03-13,medRxiv,False,,,https://example.com/paper/87,10.1000/000087
cord_000088,COVID-19 Research Paper 88: Clinical Therapeutic,This study investigates COVID-19 diagnosis using machine learning. The findings suggest important implications for treatment protocols.,"Author 0 Jones, Author 1 Smith, Author 2 Williams, Author 3 Davis",Science,2022-08-11,Research Square,True,,,https://example.com/paper/88,
cord_000089,COVID-19 Research Paper 89: Therapeutic Therapeutic,This study investigates COVID-19 transmission using clinical data. The findings suggest important implications for public health policy.,"Author 0 Davis, Author 1 Johnson, Author 2 Johnson, Author 3 Williams, Author 4 Williams, Author 5 Miller",PLOS ONE,2021-10-20,WHO,False,,pmc_89.json,https://example.com/paper/89,10.1000/000089
cord_000090,COVID-19 Research Paper 90: Preventive Preventive,This study investigates COVID-19 treatment using machine learning. The findings suggest important implications for public health policy.,"Author 0 Garcia, Author 1 Davis, Author 2 Smith, Author 3 Williams",PLOS ONE,2021-04-21,Research Square,True,,,https://example.com/paper/90,10.1000/000090
